기준_년분기_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,자치구,행정동,상권명,상권분류,면적(㎡),검색어,위도,경도,연도,일평균_매출_금액,일최대_매출_금액,일평균_매출_건수,일최대_매출_건수,총점
20201,화초,19252112,1231,13462003,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,2750301.714,7237636,175.8571429,435,3
20201,철물점,194425645,796,98806475,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,27775092.14,98806475,113.7142857,319,1
20201,인테리어,8045701,268,4981429,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,1149385.857,2540766,38.28571429,69,1
20201,조명용품,9235051,721,7009006,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,1319293,2021264,103,152,1
20201,전자상거래업,17941893,1739,5778721,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,2563127.571,10277928,248.4285714,689,4
20201,한식음식점,1144520898,46644,854620649,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,163502985.4,198715277,6663.428571,7486,6
20201,일식음식점,69012543,4891,52379789,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,9858934.714,11614195,698.7142857,896,4
20201,치킨전문점,559957009,24740,376224709,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,79993858.43,98871238,3534.285714,4320,8
20201,분식전문점,264098395,29828,204175936,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,37728342.14,45787638,4261.142857,5199,8
20201,호프-간이주점,39585273,950,30446907,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,5655039,7154177,135.7142857,179,8
20201,커피-음료,258140015,34302,178686557,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,36877145,41841358,4900.285714,5467,8
20201,자동차수리,972000000,9548,834725928,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,138857142.9,221233768,1364,1793,1
20201,미용실,20942147,680,14117978,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,2991735.286,6824169,97.14285714,172,2
20201,세탁소,9182404,756,6240217,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,1311772,2860031,108,207,2
20201,편의점,1799874389,340332,1346151355,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,257124912.7,274757366,48618.85714,52467,8
20201,화장품,1826938725,113209,1320346570,마포구,성산2동,마포구청역 1번,골목상권,87346,서울 마포구 성산2동 마포구청역 1번,37.56473162,126.902523,2020,260991246.4,304531742,16172.71429,18208,4
20201,한식음식점,31202395,2299,22267178,마포구,합정동,양화대교북단,골목상권,102440,서울 마포구 합정동 양화대교북단,37.54710763,126.9086793,2020,4457485,5497012,328.4285714,462,6
20201,일반교습학원,19878420,83,10601824,마포구,합정동,양화대교북단,골목상권,102440,서울 마포구 합정동 양화대교북단,37.54710763,126.9086793,2020,2839774.286,10601824,11.85714286,49,0
